,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600850.SH,20260518,19.65,20.46,19.65,20.46,18.6,1.86,10.0,160294.18,326768.102
1,600850.SH,20260515,19.16,19.53,18.53,18.6,19.15,-0.55,-2.8721,148039.62,279792.661
2,600850.SH,20260514,20.05,20.58,19.13,19.15,19.88,-0.73,-3.672,151721.76,298180.775
3,600850.SH,20260513,19.41,20.02,19.27,19.88,19.51,0.37,1.8965,122576.94,241767.171
4,600850.SH,20260512,20.06,20.07,19.5,19.51,20.11,-0.6,-2.9836,117111.31,230883.42
5,600850.SH,20260511,20.51,20.58,20.05,20.11,20.44,-0.33,-1.6145,137262.19,277542.337
6,600850.SH,20260508,20.0,20.64,19.85,20.44,19.91,0.53,2.662,142215.5,289427.555
7,600850.SH,20260507,19.59,20.0,19.45,19.91,19.53,0.38,1.9457,108903.17,214468.323
8,600850.SH,20260506,19.47,19.83,19.46,19.53,19.34,0.19,0.9824,134387.67,263415.819
9,600850.SH,20260430,19.35,19.56,18.61,19.34,19.9,-0.56,-2.8141,167644.34,321073.988
10,600850.SH,20260429,19.33,20.03,19.32,19.9,19.45,0.45,2.3136,109746.15,217087.448
11,600850.SH,20260428,20.15,20.28,19.33,19.45,20.26,-0.81,-3.998,133178.1,262240.08
12,600850.SH,20260427,20.24,20.43,19.9,20.26,20.24,0.02,0.0988,82094.27,165705.822
13,600850.SH,20260424,20.58,20.58,19.91,20.24,20.56,-0.32,-1.5564,99795.5,201353.928
14,600850.SH,20260423,20.81,21.1,20.34,20.56,20.8,-0.24,-1.1538,87756.67,181027.284
15,600850.SH,20260422,20.25,20.87,20.23,20.8,20.38,0.42,2.0608,114197.96,235704.289
16,600850.SH,20260421,20.83,20.86,20.26,20.38,20.86,-0.48,-2.3011,101317.03,206630.559
17,600850.SH,20260420,20.52,20.97,20.48,20.86,20.51,0.35,1.7065,102101.0,212521.08
18,600850.SH,20260417,20.58,20.62,20.3,20.51,20.68,-0.17,-0.8221,89644.4,183369.581
19,600850.SH,20260416,20.13,20.7,20.13,20.68,20.16,0.52,2.5794,117309.71,240419.97
20,600850.SH,20260415,20.69,20.72,20.12,20.16,20.31,-0.15,-0.7386,94064.73,191559.723
21,600850.SH,20260414,20.44,20.64,20.05,20.31,20.19,0.12,0.5944,104489.69,211689.679
22,600850.SH,20260413,19.6,20.3,19.6,20.19,19.9,0.29,1.4573,119180.46,239443.83
23,600850.SH,20260410,20.15,20.18,19.86,19.9,19.93,-0.03,-0.1505,167833.67,335264.541
24,600850.SH,20260409,20.4,20.56,19.89,19.93,20.73,-0.8,-3.8591,272476.79,547553.545
25,600850.SH,20260408,19.59,20.73,19.59,20.73,19.84,0.89,4.4859,423642.46,856179.41
26,600850.SH,20260407,19.84,19.84,19.84,19.84,22.04,-2.2,-9.9819,44548.0,88383.232
27,600850.SH,20260403,22.44,22.57,22.0,22.04,22.35,-0.31,-1.387,59562.7,132200.643
28,600850.SH,20260402,22.98,22.98,22.13,22.35,22.97,-0.62,-2.6992,69121.44,155242.605
